PM10,SO2,Nox,MONTH,WEEK,YEAR ,serial
97,10,22,june,1,2018,141
74.33,9,22.33,june,2,2018,142
53,10,21.66,june,3,2018,143
77,6.66,16.66,june,4,2018,144
43,6.33,14.33,june,5,2018,145
72.66,6.66,14.66,jul,1,2018,146
60,6,15.33,jul,2,2018,147
55.75,6,14.25,jul,3,2018,148
53.5,4.5,15.5,jul,4,2018,149
65,5,14,jul,5,2018,150
54,7.5,18,aug,1,2018,151
85.33,7.33,18.66,aug,2,2018,152
54,6,20,aug,3,2018,153
65,6.5,19.5,aug,4,2018,154
47,6.5,17.5,aug,5,2018,155
,,,sep,1,2018,156
57,7,18,sep,2,2018,157
71.5,6,14,sep,3,2018,158
51.5,6.5,12.5,sep,4,2018,159
59.66,6,17.33,sep,5,2018,160
79.33,5.66,16,oct,1,2018,161
76.66,5.66,14.66,oct,2,2018,162
127,6.5,17,oct,3,2018,163
154.66,4.33,20.66,oct,4,2018,164
120.5,4.5,21,oct,5,2018,165
102.33,5.33,22.66,nov,1,2018,166
131.57,6.71,15.85,nov,2,2018,167
110.4,7.2,16.6,nov,3,2018,168
132.5,8.5,17.5,nov,4,2018,169
151.66,6.33,18,nov,5,2018,170
,,,dec,1,2018,171
109.5,5,19.5,dec,2,2018,172
130,10.33,16,dec,3,2018,173
121,9.33,14.66,dec,4,2018,174
173.25,7.5,16.5,dec,5,2018,175
158.5,8.5,18,JAN,1,2019,176
173.33,7.66,19,JAN,2,2019,177
157,8,20,JAN,3,2019,178
183.5,8,20.5,JAN,4,2019,179
230.5,7.5,14.5,JAN,5,2019,180
225,10,17,FEB,1,2019,181
223.66,9.66,18.33,FEB,2,2019,182
213.66,8,17.33,FEB,3,2019,183
167.66,6.33,18,FEB,4,2019,184
200,6,17,FEB,5,2019,185
136,5,16,mar,1,2019,186
131.33,6,19,mar,2,2019,187
205.66,5.33,16,mar,3,2019,188
192,7,19,mar,4,2019,189
208.66,9.33,23,mar,5,2019,190
109.66,8.66,19.33,apr,1,2019,191
101.33,7.33,18.66,apr,2,2019,192
71,7.5,15,apr,3,2019,193
121,7.33,16,apr,4,2019,194
68,6,14,apr,5,2019,195
,,,may,1,2019,196
68,6,18,may,2,2019,197
59.5,5.5,14.25,may,3,2019,198
65.66,7.33,15,may,4,2019,199
54.25,7.25,16.75,may,5,2019,200
,,,june,1,2019,201
39.66,6.33,14,june,2,2019,202
71,6.66,15.33,june,3,2019,203
64.33,7,15.66,june,4,2019,204
71.66,6.66,15.66,june,5,2019,205
70.33,7,15,jul,1,2019,206
48.66,6.33,14,jul,2,2019,207
61,7,14.33,jul,3,2019,208
48.66,6.66,14.66,jul,4,2019,209
39.5,7,15.5,jul,5,2019,210
54,7.5,18,aug,1,2019,211
85.33,7.33,18.66,aug,2,2019,212
54,6,20,aug,3,2019,213
65,6.5,19.5,aug,4,2019,214
47,6.5,17.5,aug,5,2019,215
40.33,5.66,12.33,sep,1,2019,216
34.66,6.66,13.66,sep,2,2019,217
42.66,6.35,15.33,sep,3,2019,218
61.33,6,14,sep,4,2019,219
82,7,13,sep,5,2019,220
65,5.5,17,oct,1,2019,221
81,6.5,16,oct,2,2019,222
133.66,6,14,oct,3,2019,223
144.16,6.33,15,oct,4,2019,224
162,7.2,15,oct,5,2019,225
87.5,6,10.33,nov,1,2019,226
99,6,16.75,nov,2,2019,227
102,6,16.33,nov,3,2019,228
164,7.33,15,nov,4,2019,229
126.33,7,15.33,nov,5,2019,230
170,7,16,dec,1,2019,231
146,7.5,13.5,dec,2,2019,232
169,7,16,dec,3,2019,233
162.5,6.5,15,dec,4,2019,234
176,7,13,dec,5,2019,235
