PM10,SO2,Nox,WEEK,YEAR ,MONTH,serial
100.66,18,26.66,2,2018,may,137
89.66,13.66,22,3,2018,may,138
93.66,11.66,22,4,2018,may,139
95,14,23,5,2018,may,140
62,10,18,1,2018,june,141
56,9.66,20.33,2,2018,june,142
79.33,8,22.33,3,2018,june,143
87.66,7,17.33,4,2018,june,144
68,8,17,5,2018,june,145
75,6.33,16.66,1,2018,jul,146
65.33,5.66,17.66,2,2018,jul,147
54.25,7,18.25,3,2018,jul,148
63.5,5,13.5,4,2018,jul,149
59,4,20,5,2018,jul,150
74.5,5.5,17,1,2018,aug,151
80.33,7,16.66,2,2018,aug,152
54,6,18,3,2018,aug,153
42,6,20,4,2018,aug,154
43,6.5,17.5,5,2018,aug,155
60.95,5.86,16.27,1,2018,sep,156
71,7,17.5,2,2018,sep,157
59.33,5.66,17,3,2018,sep,158
87.5,5.5,12.5,4,2018,sep,159
70,6,17.66,5,2018,sep,160
61.66,7.66,15.66,1,2018,oct,161
64.33,5,16.33,2,2018,oct,162
68.5,7.5,12.5,3,2018,oct,163
79.66,8,14.66,4,2018,oct,164
103,6.5,19,5,2018,oct,165
111.66,6.33,16,1,2018,nov,166
139.42,8.42,19.28,2,2018,nov,167
122.8,7.6,20.4,3,2018,nov,168
170.5,7,19,4,2018,nov,169
165,7,19,5,2018,nov,170
122,7.21,16.77,1,2018,dec,171
161,5,14.5,2,2018,dec,172
191,8.66,20.33,3,2018,dec,173
150,7,15,4,2018,dec,174
155,6.75,14.75,5,2018,dec,175
207,11.5,13.5,1,2019,JAN,176
23.33,10.66,15.33,2,2019,JAN,177
233,7,18.5,3,2019,JAN,178
251,12,21.5,4,2019,JAN,179
232,13.5,21.5,5,2019,JAN,180
243,15,18,1,2019,FEB,181
254.7,17,23,2,2019,FEB,182
212.7,17.66,28.33,3,2019,FEB,183
152.66,15.33,15,4,2019,FEB,184
187,12.5,15.5,5,2019,FEB,185
153,12,16,1,2019,mar,186
150.33,13.33,15,2,2019,mar,187
237,18.33,29.33,3,2019,mar,188
188.5,18.5,23,4,2019,mar,189
182.66,18.33,22,5,2019,mar,190
89.33,18.33,16,1,2019,apr,191
102.66,16.33,20,2,2019,apr,192
106.5,13.5,15,3,2019,apr,193
122.66,14.33,23.66,4,2019,apr,194
52,17,11,5,2019,apr,195
63,7.67,16.13,1,2019,may,196
95.5,12,19,2,2019,may,197
61.5,14.5,13.25,3,2019,may,198
46.33,12,13,4,2019,may,199
56.25,11.25,16.25,5,2019,may,200
53.75,7.38,14.71,1,2019,june,201
44,12.33,13.66,2,2019,june,202
69.33,9.66,16.66,3,2019,june,203
52,9.66,15,4,2019,june,204
88.33,9.33,12.33,5,2019,june,205
40.66,9.66,14.33,1,2019,jul,206
51.66,9.66,11.66,2,2019,jul,207
42,9.66,11.66,3,2019,jul,208
33.66,8.66,11.66,4,2019,jul,209
38.5,10,11,5,2019,jul,210
76.5,5.5,17,1,2019,aug,211
80.33,7,16.66,2,2019,aug,212
54,6,18,3,2019,aug,213
42,6,20,4,2019,aug,214
43,6.5,17.5,5,2019,aug,215
39,10.66,10,1,2019,sep,216
45.33,10.66,10,2,2019,sep,217
48,10.33,11,3,2019,sep,218
42,11,9.33,4,2019,sep,219
40,14,11,5,2019,sep,220
56.5,8.5,12,1,2019,oct,221
38,10,10.5,2,2019,oct,222
69.5,9,10.5,3,2019,oct,223
84.8,10.8,14.16,4,2019,oct,224
155.5,8.25,12.5,5,2019,oct,225
112,9,14,1,2019,nov,226
103.5,10,13,2,2019,nov,227
101.33,8,14.33,3,2019,nov,228
150.33,9,16.33,4,2019,nov,229
150.33,9,13.33,5,2019,nov,230
158,10,12,1,2019,dec,231
171.5,10,12.5,2,2019,dec,232
158.66,9.66,11.66,3,2019,dec,233
199.5,10,11.5,4,2019,dec,234
212,9,13,5,2019,dec,235
