PM10,SO2,Nox,MONTH,WEEK,YEAR ,serial
82.33,13,15,may,3,2018,138
79.33,11.66,23.33,may,4,2018,139
115,10,21,may,5,2018,140
32,8,21,june,1,2018,141
51,8.66,23.66,june,2,2018,142
60,9,21,june,3,2018,143
75,7.66,15.66,june,4,2018,144
70.33,6,14,june,5,2018,145
61.33,6.33,15,jul,1,2018,146
48.33,5,15,jul,2,2018,147
51.25,5.5,13.25,jul,3,2018,148
52.5,5,12.5,jul,4,2018,149
,,,jul,5,2018,150
33.5,5.5,14,aug,1,2018,151
56.33,6.66,18.66,aug,2,2018,152
48,7,17,aug,3,2018,153
52.5,7,20,aug,4,2018,154
50.5,6,15.5,aug,5,2018,155
,,,sep,1,2018,156
49.5,6.5,16,sep,2,2018,157
60,5,18,sep,3,2018,158
54.5,4.5,15.5,sep,4,2018,159
32,4,12.5,sep,5,2018,160
58.5,5,15.5,oct,1,2018,161
52.5,5,15,oct,2,2018,162
59,5,15,oct,3,2018,163
63.5,5,17,oct,4,2018,164
84,4,19,oct,5,2018,165
75,5,16,nov,1,2018,166
112.5,9,17,nov,2,2018,167
109.5,6.5,16,nov,3,2018,168
133.5,6.5,15,nov,4,2018,169
120,8,16,nov,5,2018,170
,,,dec,1,2018,171
156,6,17.5,dec,2,2018,172
114,7,15.5,dec,3,2018,173
99.5,6.5,15.5,dec,4,2018,174
113.5,7,14.5,dec,5,2018,175
120,7.5,17.5,JAN,1,2019,176
133,6,16.66,JAN,2,2019,177
133,7,16.5,JAN,3,2019,178
114.5,8.5,19.5,JAN,4,2019,179
122,8,16,JAN,5,2019,180
92,9,18,FEB,1,2019,181
121,9,16.33,FEB,2,2019,182
133.33,9.66,16.33,FEB,3,2019,183
102.66,5.33,17.66,FEB,4,2019,184
104,5.5,17,FEB,5,2019,185
116,7,19,mar,1,2019,186
84.66,6,18,mar,2,2019,187
133.66,5.33,18.33,mar,3,2019,188
148,5.5,19.5,mar,4,2019,189
153.66,8.33,17,mar,5,2019,190
86,9,18,apr,1,2019,191
81.33,8.33,18.66,apr,2,2019,192
87,7,17,apr,3,2019,193
140,7.33,18,apr,4,2019,194
57,8,18,apr,5,2019,195
,,,may,1,2019,196
84,6,20,may,2,2019,197
78.25,6.5,15,may,3,2019,198
57.66,6.66,14.66,may,4,2019,199
54.25,5.75,14.25,may,5,2019,200
,,,june,1,2019,201
30,6.66,13.33,june,2,2019,202
39.66,7.33,13.66,june,3,2019,203
51.33,6.66,15.33,june,4,2019,204
73.5,7,14,june,5,2019,205
40.66,9.66,14.33,jul,1,2019,206
48,7.33,13,jul,2,2019,207
30.33,7,15.33,jul,3,2019,208
33,6,13,jul,4,2019,209
39,7.5,14,jul,5,2019,210
33.5,5.5,14,aug,1,2019,211
56.33,6.66,18.66,aug,2,2019,212
48,7,17,aug,3,2019,213
52.5,7,20,aug,4,2019,214
50.5,6,15,aug,5,2019,215
33.33,6.33,12.66,sep,1,2019,216
28.33,5.66,12.33,sep,2,2019,217
42,6,13.33,sep,3,2019,218
35.33,6,13.66,sep,4,2019,219
34,5,14,sep,5,2019,220
33,6,14,oct,1,2019,221
31.5,5,15.5,oct,2,2019,222
37,6,13.5,oct,3,2019,223
72.66,6.33,13.66,oct,4,2019,224
86,6,15,oct,5,2019,225
58,7,16,nov,1,2019,226
67.33,7,16,nov,2,2019,227
39.66,6,16,nov,3,2019,228
76,6.66,15,nov,4,2019,229
74.33,6.66,14.66,nov,5,2019,230
67.5,7,14.5,dec,1,2019,231
74.5,7,15,dec,2,2019,232
94.33,6,15,dec,3,2019,233
107.5,6.5,13.5,dec,4,2019,234
95,6,13,dec,5,2019,235
